Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
5.7524	caller	0	63	FullDelay	5.11298	5.11298e+06	2	2
5.75542	caller	0	64	LastDelay	0.00401833	4018.33	1	2
5.75542	caller	0	64	FullDelay	5.1038	5.1038e+06	2	2
5.77488	caller	0	65	LastDelay	0.00401833	4018.33	1	2
5.77488	caller	0	65	FullDelay	5.12088	5.12088e+06	2	2
5.78058	caller	0	66	LastDelay	0.00401833	4018.33	1	2
5.78058	caller	0	66	FullDelay	5.11827	5.11827e+06	2	2
5.78389	caller	0	67	LastDelay	0.00401833	4018.33	1	2
5.78389	caller	0	67	FullDelay	5.10315	5.10315e+06	2	2
5.78919	caller	0	68	LastDelay	0.00401833	4018.33	1	2
5.78919	caller	0	68	FullDelay	5.09754	5.09754e+06	2	2
5.79155	caller	0	69	LastDelay	0.00401833	4018.33	1	2
5.79155	caller	0	69	FullDelay	5.0889	5.0889e+06	2	2
5.80344	caller	0	70	LastDelay	0.00401833	4018.33	1	2
5.80344	caller	0	70	FullDelay	5.09175	5.09175e+06	2	2
5.80361	caller	0	71	LastDelay	0.00401833	4018.33	1	2
5.80361	caller	0	71	FullDelay	5.07946	5.07946e+06	2	2
5.81995	caller	0	72	LastDelay	0.00401833	4018.33	1	2
5.81995	caller	0	72	FullDelay	5.0822	5.0822e+06	2	2
5.82982	caller	0	73	LastDelay	0.00401833	4018.33	1	2
5.82982	caller	0	73	FullDelay	5.08235	5.08235e+06	2	2
5.84664	caller	0	74	LastDelay	0.00401833	4018.33	1	2
5.84664	caller	0	74	FullDelay	5.08563	5.08563e+06	2	2
5.86284	caller	0	75	LastDelay	0.00401833	4018.33	1	2
5.86284	caller	0	75	FullDelay	5.0966	5.0966e+06	2	2
5.87938	caller	0	76	LastDelay	0.00401833	4018.33	1	2
5.87938	caller	0	76	FullDelay	5.09833	5.09833e+06	2	2
5.88279	caller	0	77	LastDelay	0.00401833	4018.33	1	2
5.88279	caller	0	77	FullDelay	5.09441	5.09441e+06	2	2
5.88502	caller	0	78	LastDelay	0.00401833	4018.33	1	2
5.88502	caller	0	78	FullDelay	5.0868	5.0868e+06	2	2
5.8948	caller	0	79	LastDelay	0.00401833	4018.33	1	2
5.8948	caller	0	79	FullDelay	5.08313	5.08313e+06	2	2
5.89807	caller	0	80	LastDelay	0.00401833	4018.33	1	2
5.89807	caller	0	80	FullDelay	5.07757	5.07757e+06	2	2
5.89811	caller	0	81	LastDelay	0.00401833	4018.33	1	2
5.89811	caller	0	81	FullDelay	5.06803	5.06803e+06	2	2
5.90608	caller	0	82	LastDelay	0.00401833	4018.33	1	2
5.90608	caller	0	82	FullDelay	5.06265	5.06265e+06	2	2
5.91917	caller	0	83	LastDelay	0.00401833	4018.33	1	2
5.91917	caller	0	83	FullDelay	5.05634	5.05634e+06	2	2
5.91959	caller	0	84	LastDelay	0.00401833	4018.33	1	2
5.91959	caller	0	84	FullDelay	5.05443	5.05443e+06	2	2
5.93626	caller	0	85	LastDelay	0.00401833	4018.33	1	2
5.93626	caller	0	85	FullDelay	5.06398	5.06398e+06	2	2
5.94668	caller	0	86	LastDelay	0.00401833	4018.33	1	2
5.94668	caller	0	86	FullDelay	5.06473	5.06473e+06	2	2
5.96206	caller	0	87	LastDelay	0.00401833	4018.33	1	2
5.96206	caller	0	87	FullDelay	5.07986	5.07986e+06	2	2
5.96436	caller	0	88	LastDelay	0.00401833	4018.33	1	2
5.96436	caller	0	88	FullDelay	5.07074	5.07074e+06	2	2
5.96605	caller	0	89	LastDelay	0.00401833	4018.33	1	2
5.96605	caller	0	89	FullDelay	5.06811	5.06811e+06	2	2
5.96649	caller	0	90	LastDelay	0.00401833	4018.33	1	2
5.96649	caller	0	90	FullDelay	5.06334	5.06334e+06	2	2
5.97505	caller	0	91	LastDelay	0.00401833	4018.33	1	2
5.97505	caller	0	91	FullDelay	5.06268	5.06268e+06	2	2
5.98185	caller	0	92	LastDelay	0.00401833	4018.33	1	2
5.98185	caller	0	92	FullDelay	5.05633	5.05633e+06	2	2
5.98987	caller	0	93	LastDelay	0.00401833	4018.33	1	2
5.98987	caller	0	93	FullDelay	5.05459	5.05459e+06	2	2
5.99988	caller	0	94	LastDelay	0.00401833	4018.33	1	2
5.99988	caller	0	94	FullDelay	5.04622	5.04622e+06	2	2
6.0011	caller	0	95	LastDelay	0.00401833	4018.33	1	2
6.0011	caller	0	95	FullDelay	5.03323	5.03323e+06	2	2
6.00806	caller	0	96	LastDelay	0.00401833	4018.33	1	2
6.00806	caller	0	96	FullDelay	5.02557	5.02557e+06	2	2
6.01578	caller	0	97	LastDelay	0.00401833	4018.33	1	2
6.01578	caller	0	97	FullDelay	5.02771	5.02771e+06	2	2
6.02454	caller	0	98	LastDelay	0.00401833	4018.33	1	2
6.02454	caller	0	98	FullDelay	5.00722	5.00722e+06	2	2
6.03338	caller	0	99	LastDelay	0.00401833	4018.33	1	2
6.03338	caller	0	99	FullDelay	4.99979	4.99979e+06	2	2
6.04934	caller	0	100	LastDelay	0.00401833	4018.33	1	2
6.04934	caller	0	100	FullDelay	5.01217	5.01217e+06	2	2
6.05212	caller	0	101	LastDelay	0.00401833	4018.33	1	2
6.05212	caller	0	101	FullDelay	5.01394	5.01394e+06	2	2
